Song Title,Performer(s),Places Mentioned in Text,Place Performed/Recorded,Place Published,Date Recorded/ Composed,Collector(s),Source,Source Publication Date,File Name/Location,English Translation,Comments
El Pantera,,"Barrio de San Luisito, Monterrey, Mexico",,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1935-09-15/ed-1/seq-42/ocr/,"September 15, 1935",https://docs.google.com/document/d/1YLuNnagN5_tXa7b3QrsiqPr-2R9c2Iyn6zCpPBRkt7s/edit,,Published in La Opinión
Corrido del Borlote,,,,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1936-08-02/ed-1/seq-34/ocr/,"August 2, 1936",https://docs.google.com/document/d/1xvB9r9g3jQkVl7mZq83kDlvQXdd1FBSbHIlOiVhci4A/edit,,Published in La Opinión
Corrido Ranchero de Higinio Flores,,"Durango, Mexico",,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1936-08-30/ed-1/seq-34/ocr/,"August 30, 1936",https://docs.google.com/document/d/1accIgebPX66syjDZGFvxAqC6TDan9ZB4ioPSOMN9CFQ/edit,,Published in La Opinión
Corrido de Don Esteban,,"Irapuato, Mexico; Curadero; Conguripo, Mexico; Aranjuez, Mexico",,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1937-09-12/ed-1/seq-42/ocr/,"September 12, 1937",https://docs.google.com/document/d/1SyoQI0Z1gd4yIep_d0m82DIKN7k9hIJGjOg1KYw98Kg/edit,,Published in La Opinión
Corrido de los Pelones o los Rateros de Mexico,,Mexico,,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1937-09-12/ed-1/seq-42/ocr/,"September 12, 1937",https://docs.google.com/document/d/1-0r67Xj0Hwcr1V8LeiBYimD5i5HjDfrSZr78f9OG8S4/edit,,Published in La Opinión
Corrido del Congreso Constituyente de Querétaro,,"Querétaro, Mexico; Saltillo, Mexico",,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1937-09-12/ed-1/seq-42/ocr/,"September 12, 1937",https://docs.google.com/document/d/1JSzVyimzntE5_2dDhLboE78bnnSt8P7x7wyGjyJ8kHo/edit,,Published in La Opinión
Corrido Soy de Rancho,,,,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1937-09-12/ed-1/seq-42/ocr/,"September 12, 1937",https://docs.google.com/document/d/1rAwHdHuVrFx-kXfSGJtf9ifECFH-JmAN9kaLLGwFcJ4/edit,,Published in La Opinión
Corrido del General Francisco Tolentino,,,,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1937-09-12/ed-1/seq-42/ocr/,"September 12, 1937",https://docs.google.com/document/d/1bWOOCUhmK2VVI0__hHpVIsk639Um3_zg96ZODvuI9X8/edit,,Published in La Opinión
Corrido de Oaxaca de Juárez,,"Oaxaca, Mexico; Temple of Santo Domingo, Oaxaca, Mexico; Netzahualcóyolt, Oaxaca, Mexico; Plaza del Mercado, Oaxaca, Mexico; Benito Juarez monument, Oaxaca, Mexico; playa de Santa Maria, Oaxaca, Mexico; La Soledad, Oaxaca, Mexico; Santa Maria del Marquesado, Oaxaca, Mexico",,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1937-09-12/ed-1/seq-42/ocr/,"September 12, 1937",https://docs.google.com/document/d/1AAYPgAHtlU6Wyw0nv4kFw4Nu1lvIy70okLD_Av5z2cY/edit,,Published in La Opinión
Corrido de Cuca Mendoza,,"San Antonio, Mexico; Moroleón, Mexico",,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1937-09-12/ed-1/seq-42/ocr/,"September 12, 1937",https://docs.google.com/document/d/17_ys4xW0A89KHW7YvGWM_IvGqzshPKvj5rAFGSwypLU/edit,,Published in La Opinión
